outer_fit_id,repetition,outer_fold,status,fallback_reason,direction,family_pair,boundary,edge_hit,flat_profile,multiple_near_optima,collapsed,hard_failure
id:outer-14-fold-4,14,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-15-fold-1,15,1,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-15-fold-2,15,2,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-15-fold-3,15,3,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-15-fold-4,15,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-16-fold-1,16,1,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-16-fold-2,16,2,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-16-fold-3,16,3,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-16-fold-4,16,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-17-fold-1,17,1,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-17-fold-2,17,2,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-17-fold-3,17,3,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-17-fold-4,17,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-18-fold-1,18,1,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-18-fold-2,18,2,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-18-fold-3,18,3,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-18-fold-4,18,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-19-fold-1,19,1,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-19-fold-2,19,2,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-19-fold-3,19,3,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-19-fold-4,19,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-20-fold-1,20,1,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-20-fold-2,20,2,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-20-fold-3,20,3,fallback,NO_BALANCED_SPLIT,,,,,,,,false
id:outer-20-fold-4,20,4,fallback,NO_BALANCED_SPLIT,,,,,,,,false
